cassoulet,french cuisine
soupe au pistou,cold sauce
Crepe de alforfón,pancake made with buckwheat flour
raclette,A Swiss national dish
Caracoles a la llauna,
Borsch frío,chilled soup made from beets
Mermelada de coco,"jam made from a base of coconut milk, eggs and sugar"
Ahle Wurst,"kind of hard pork sausage made in northern Hesse, Germany"
Carbonade,traditional sweet-sour beef and onion stew made with beer
Rheintaler Ribelmais,
Tarta de arroz,"rice pie, typically from the Dutch or Belgian province of Limburg"
Mars frito,Deep fried Scottish confectionery
faláfel,traditional Middle Eastern food: deep-fried balls of ground chickpeas or fava beans
Tzimmes,
gulash,"Hungarian dish consisting of soup or stew of meat and vegetables, seasoned with paprika and/or other spices"
paella,Valencian rice dish
Zwetschgenknödel,
Zwiebeldinnele,Specialty of the Swabian-Alemannic kitchen
Zwiebelrostbraten,
Zürcher Geschnetzeltes,Swiss dish of veal in wine and cream sauce
Älplermagronen,dish from the Swiss Alps
queso quark,dairy product
Mantı,dish
Salzburger Nockerl,austrian sweet soufflé
Žganci,
Biryani,rice dish from the Indian subcontinent
éclair,oblong pastry made with choux dough filled with a cream and topped with icing
ensalada rusa,salad dish of Russian origin
Stoemp,Belgian dish with stomped potatoes and vegetables
Schlesisches Himmelreich,
Linsen mit Spätzle,traditional Swabian dish
Backerbse,
Backhendl,
Poutine,Québécois dish of fresh cut fries topped with cheese curds and hot brown gravy
Aiwowo,traditional Chinese dessert
papa a la huancaína,"Peruvian appetizer of boiled yellow potatoes in a spicy, creamy sauce"
Onsen tamago,egg dish
Chinmi,Japanese delicacies
nachos,Tex-Mex dish
amuse-gueule,"single, bite-sized hors d’œuvre"
gimbap,seaweed roll
Pizza Margarita,"typical Neapolitan pizza topped with tomato, mozzarella, and fresh basil"
Baked Alaska,dessert dish of ice cream and meringue
hújiāo bǐng,Chinese baked bun
Utopenec,Czech food item
manjar blanco,"sweet dessert commonly made with milk or cream and sugar, thickened and often flavoured with almonds"
bánh bao,Vietnamese bun
bánh chưng,Vietnamese dish
Jägerschnitzel,"classic, fried meat dish"
Panhas,traditional Dutch food
Saumagen,
pizza hawaiana,"pizza variety, usually topped with pineapple pieces and ham"
frijoles refritos,Mexican dish
Mititei,Gastronomía rumana
romeritos,typical Mexican dish
Charoset,Traditional dish served at Seder
Lampredotto,Florentine dish
Shkedei marak,
Cacciatore,Italian style of cuisine
Cocido de pelotas,
Chicken paprikash,dish
bibimbap,Korean rice bowl dish
Muffuletta,bread and sandwich type
Schäufele,
pimientos rellenos,dish involving filling the cavities of a bell pepper with other food
Gujeolpan,Korean dish
hwajeon,flower cakes
Żurek,traditional West Slavic soup
yaksik,"Korean dessert of glutinous rice, chestnuts, jujubes, and pine nuts"
Wolgwachae,Korean food
Salchicha pequeña en salchicha grande,
Jalea de hierba,jelly-like dessert eaten in East Asia
japchae,Korean dish of stir-fried glass noodles and vegetables
paprikash,Hungarian dish
Peixinhos da horta,Portuguese fried vegetable-based dish
mixed pickle,pickles made from a variety of vegetables mixed in the same pickling process
Badische Schneckensuppe,
Bayrisch Kraut,
arroz jollof,one-pot rice dish popular in many West African countries.
Berner Platte,
Bouillabaisse,traditional Provençal fish stew
bibeleskaes,
rosbif,traditional English dish of beef which is roasted
Cheese on toast,snack
Osechi,assortment of food delicacies celebrating Japanese New Year
Mohr im Hemd,
Leberknödel,Traditional dish
Fleckerl,
Krautfleckerl,
Mont-d'Or chaud,hot cheese dish
Hochzeitssuppe,food
Blaue Zipfel,
Bobotie,South African dish
alimento vegetal,food not including any animal by-products in its composition or manufacturing process
Takoyaki,ball-shaped Japanese snack with octopus
bossam,boiled pork wraps
svele,Norwegian food similar to pancake
galantina,stuffed meat dish from French cuisine
Schlachteplatte,
Fufu,pounded swallow made from fresh or fermented cassava roots and often eaten alongside various soups
gachas,Andalusian staple dish
Avial,"dish originating from Kerala, India"
bocconotto,type of pastry in Italia
quibebé,semi-sweet winter squash stew
pig jaw,part of a pig head
salteña,Bolivian meat pastry
Fabada,Spanish bean stew
Amatriciana,amatriciana
bulz,dish
Ganca,Dish of corn
Butterschnitzel,dish
botvinia,chilled beet soup of Russian origin
Ensalada de pasta,salad-like dish
Ossobuco,Lombard dish
Chana masala,chickpea dish from the Indian subcontinent
Chartreuse,French dish of vegetables or meat tightly wrapped in vegetable leaves and cooked in a mould
Chawanmushi,Japanese egg custard dish
arroz frito,cooked rice stir-fried with eggs and other ingredients
balti,"type of curry cooked and eaten in a thin, pressed-steel wok called a ""balti bowl"""
Tong zi dan,"traditional dish of Dongyang, Zhejiang, China"
Luther Burger,hamburger or cheeseburger with one or more glazed doughnuts in place of the bun
Käsespätzle,"type of egg noodle with cheese, germen dish"
Corn dog,"deep-fried, corn-battered hot dog on a stick"
Okinawa soba,food
Porkkanalaatikko,traditional Finnish dish
Sesos de mono (gastronomía),
Crostini,Italian appetizer
Crottin de Berry à l’Huile d’Olive,
Tonkatsu,Japanese dish of deep-fried pork
cuy chactao,
klenät,nordic fried pastry
Daitokuji nattō,
moules-frites,dish of mussels and fries
Arroz sucio,Creole rice dish
Saganaki,style of Greek dish
Salsa Duxelle,"dish used as a flavour base in other recipes consisting of finely chopped mushrooms, onions and herbs"
rabo de toro,tail of an ox
kilishi,"Hausa dish of spiced dried beef, mutton or goat meat"
Makkaraperunat,
Polonaise,sauce in Polish cuisine
Erdnussflips,peanut snack
Unadon,Japanese dish
jambalaya,dish
Krautshäuptchen,
Topfenstrudel,Austrian pastry
farofa,cassava flour
Farsu magru,Sicilian meat dish
Goxua,dessert
Lohikeitto,fish soup
Restaurationsbrot,
ugali,type of maize flour porridge made in Africa
Frikandel,fried meat product
Ful medames,Egyptian/Sudanese dish
Möpkenbrot,German pork and grain sausage
Hash,food
Fërgesë de Tirana,Albanian egg dish
Tonno del Chianti,Italian pork dish
Pølser,type of red sausage common in Denmark
Harira,traditional  soup de Marruecos
pizokel,buckwheat spätzle
Hefekloß,
Blåbärssoppa,Scandanavian soup made from bilberries
Grenadiermarsch,
mincemeat,"mixture of chopped dried fruit, distilled spirits and spices, and sometimes beef suet, beef, or venison"
lamian,"Chinese noodle made by twisting, stretching and folding the dough into strands"
Supersize,
Leskovački roštilj,Serbian meat dish and grilling method
Leberwurst,type of sausage
ham and eggs,dish
Musa acuminata AAA Group Mutika/Lujugira Subgroup,Ugandan dish and cultivar name of the East African Highland banana
involtini siciliana,
Lontong,Indonesian traditional rice cake originally from Java island
Kadu bouranee,Afghan and Turkish pumpkin dish
cold platter,
Syrniki,Fried quark pancakes from Eastern cuisine
Kaspressknödel,
Skordalia,potato-based dish
topinky,fried garlic bread
Svið,Icelandic dish made from sheep's head
Tramezzino,triangular Italian sandwich
Pasta con le sarde,Local dish of Sicilian cuisine
Knieper,
crab soup,German and French dish usually consumed during Lent
Krusta,
käsefladen,cheese flat bread
Ostkaka,Swedish curd cake
Brussels waffle,"light, crispy, rectangular waffle with large pockets made with an egg-white-leavened or yeast-leavened batter"
lomo saltado,Peruvian stir fry dish
Malakoff,
Sajoer,Indonesian dish
Mettigel,mince hedgehog
Pepino de mar,used in fresh or dried form in various cuisines.
Spareribs,Spareribs
Amsterdam onion,yellow pickled onions
Jin deui,Chinese fried pastry
Flemish-style asparagus,
Maror,bitter herbs eaten during the Passover meal
Pfefferpotthast,German dish
Powidltascherl,
Prasselkuchen,
Crudités,"traditional French appetizers consisting of sliced or whole raw vegetables (celery, carrot, cucumber, bell pepper, broccoli, cauliflower, fennel, asparagus, ...) which are typically dipped in a vinaigrette or other dipping sauce"
Aguayón,beef steak cut from the rear of a cow
Riebel,Austrian porridge
lekkerbekje,Dutch batter-fried fish
salt potatoes,"dish from Syracuse, New York, consisting of potatoes boiled in brine"
Rabo de cerdo,dish made from pig's tail
cabeza de cerdo,corte de carne de cerdo
serviettenknödel,German bread dumpling
Sofrito (stew),
Spanish fricco,"Westphalian beef, potato and onion stew"
Speckkuchen,Flatbread with a topping of crushed bacon
S'more,North American dessert made of toasted marshmallows and chocolate sandwiched between two pieces of graham cracker
Tacos dorados,Mexican food dish
Delicias de Buda,vegetarian dish of China
Croquignoles,French dessert
túrógombóc,Hungarian food
chè xôi nước,Vietnamese dessert
Khichri,dish from the South Asia made from rice and lentils (dal)
Pom,oven dish
Mitraillette,Belgian snack bar dish
macaroni casserole,"dish of cooked macaroni and a mixture of egg and milk with additional ingredients like meats, vegetables or fish"
bsisa,dish from Tunisia
Voressen,
yaprak,"dishes made by stuffing rice, cheese or ground meat in vine (grape) leaves (rolls)"
"Weck, Worscht un Woi",
Ema datshi,a cheese and chili-based dish from Bhutan
Zosui,Japanese rice and vegetable soup
lazanki,"type of pasta and dishes made with it in Polish, Lithuanian, Belarusian, Russian, Ukrainian cuisine"
Murukku,traditional snack of South India
Dal baati,Indian dish of lentils and unleavened bread
Dagoberto,sandwich from Belgium
Ablo,lightly sweetened white cake eaten in West Africa
Ahriche,Moroccan dish
Alouettes sans tête,
Bacalao al ajoarriero,Salted cod cooked with vegetables
Bai ye,
Shmaky,
Conejo en salmorejo,rabbit meat dish from the Canary Islands
Cazuela de campo de Juneda,
Berkoukes,Algerian recipe
Rousong,dried meat product from China
Pkaila,Judeo-Tunisian dish
Karpás,one of the traditional rituals in the Passover Seder
Pan-bagnat,"specialty sandwich in the Nice area, France"
Brouet,"Meal, similar to a stew"
Carbonada,dish of Italian cuisine
caricole,
Champurrado,chocolate beverage
Civet,cooking process
Coca argelina,
Dibi,Senegalese dish
sticky rice in bamboo,Southeast Asian rice dish
Osban,embutido de la gastronomía árabe
caldo,flavoured liquid foodstuff
Garbure,"regional dish from Gascony, France"
Frita argelina,
Gardiane de taureau,dish from Camargue
espetada,
Ghapama,Armenian stuffed pumpkin dish
kefteji,Tunisian dish
Kare-kare,Filipino cuisine
chả cá Lã Vọng,Vietnamese fish dish
Miroton,guiso
moules marinières,
Sukalki,dish
Mtewem,Algerian meal
bird's nest,dish from Brussel
nkui,traditional Cameroonian dish
hongshao rou,pork dish
Qingtuan,form of dumpling
Zeeuws spek,
Botarga de Martigues,"dish from Martigues, France"
Pouteille,
Paté criollo,receta típica francesa de la isla Reunión
Raviole du Dauphiné,
Roigebrageldi,"culinary specialty of Alsace (France) consisting of potatoes, bacon, onions, butter, and white wine"
Romazava,Malagasy stew
Rougail,dish of Reunionese origin
Rougail morue,
Rougail saucisses,
arroz a banda,Spanish dish of rice cooked in fish stock
sanganhèta,
șodou,culinary preparation from Romania
Seffa,sweetened couscous dish with butter and spices
Minced meat patties,
Sohlob,dessert
stoemp with sausage,dish from Brussel
Stromboli (alimento),savory turnover
Gulyásleves,Hungarian soup
sautéed reindeer,traditional meal from Lapland
Tunisian tajines,Tunisian dish
tomate crevette,Belgian stuffed tomato
Espinacas a la catalana,
Agliata,savory and pungent garlic sauce and condiment in Italian cuisine
Arroz con costra,
brustico,
Carne salada del Trentino,Trentino meat product
Cipollata,"typical dish of Isernia, Italy"
coniglio alla sanremese,
Arroz caldoso,Spanish rice dish
Cochifrito,various fried foods prepared principally of pork
stroganina,Siberian dish
olive all'ascolana,Italian appetizer
parrozzo,traditional cake from the Abruzzo region of Italy
sangrecita,"Peruvian dish, made of chicken blood"
Scagliozzi,
sformato,sweet or savory Italian dish
Zuppa gallurese,
Pièce de résistance,
three pies,
yurma,
BK Chicken Fries,fried chicken product sold by Burger King
Pastel de frijoles,sweet custard and bean pie; associated with African-American Muslim culture
Pa amb oli,preparación culinaria española
Biscuits and gravy,breakfast dish in the United States
bánh bèo,Vietnamese delicacy
bánh cáy,
bánh rế,Vietnamese sweet potato pancake
bánh tét,Vietnamese dish
cabbage casserole,traditional Finnish dish
Casado,traditional Costa Rican meal
Cağ kebabı,Turkish meal
Sopa de cangrejo y maíz,Chinese soup of corn and crab meat
Crawfish Monica,Louisiana food tradition
Dahi baigana,Yogurt and eggplant dish
dobin mushi,Japanese dish of ingredients boiled in a broth in a tea pot (dobin)
Palbochae,Chinese dish
robatayaki,the method of cooking on the grill in the presence of the client and the dish obtained as a result of such cooking
pollo a la naranja,chicken dish
Fricot,traditional Acadian dish
Gigandes plaki,Gian beans Greek dish
Gui,grilled dishes in Korean cuisine
arroz con albóndigas,dish
Étouffée,American stew
Mukbil Pollo,
Bajoques farcides,
almejas a la marinera,Plato de marisco popular en Galicia (España)
Hawawshi,traditional Egyptian dish
zeytoon parvardeh,Iranian olive pomegranate dish
Arroz a la zamorana,
Arroz con bogavante,
Caldereta manchega,plato tradicional de la cocina manchega
Cushta,Nicaraguan cuisine dish
Enfrijoladas,
Espineta con caracoles,
Flauta (gastronomía),Plato típico mexicano
gurullos,plato tradicional de España
Lomo en adobo,"técnica de conservación, España"
suimono,Japanese clear soup
kağıt kebabı,Turkish dish
Menestra,Spanish dish
Babuko,turkish dish
Naiboa,dish in Venezuela
Elbasan tava,Turkish dish
Paciencias de Almazán,
Papas aliñás,"potato salad, parsley and olive oil"
Pegao,dish
Puchero canario,
Pulte,antique dish
puçuko,
Revuelto de Gramajo,Argentinian potato dish
Salsa diabla,Piquant or hot sauce
Sopas,Food from the Middle Ages
Titaina,Food from Valencia
Turriyones,"un tipo de migas de la provincia de Zamora, España"
Jiggs dinner,Canadian meal
Kasha varnishkes,traditional Ashkenazi Jewish dish
Kichadi,
Kuli-kuli,Nigerian snack that is made from dry roasted peanuts/groundnuts
Mataz,filled dumplings in Circassian cuisine
Liang pi,"noodle-like dish made from wheat or rice flour, originating from Shaanxi, China"
chraime,dish of fish in spicy tomato sauce which originates in the Maghreb
maque choux,"corn, green bell pepper, onion (and sometimes garlic), celery, and tomato, braised in a pot"
zarb,arabic dish
pizza mexicana,
Minchee,Macanese dish
Aqît,Kurdish food
Bêran,Kurdish dish
Bîstan,Kurdish salad
Bûş,dish of Kurdish cuisine
Derf,Kurdish meal
Doxave,Kurdish food
Mućkalica,Serbian dish
Fetîr,Kurdish meal
Gulûl,Kurdish dish
Harşo,Kurdish food
Nasi paprik,Thai dish of fried rice flavoured with sauteed chilli paste
Kirdo,Kurdish food
Kumspî,Kurdish food
Kun,Kurdish food
Maşik,Kurdish dish
Meftune,Kurdish food
nettle soup,traditional soup prepared from stinging nettles
Navoşk,Kurdish food
Pîçik,Kurdish food
Qirîs,Kurdish dish
Qopo,Kurdish food
Sovanî,Kurdish dish
Sînor,Kurdish dish
Salsa de modica,"soup made with dry, ground Irvingia gabonensis (ogbono) seeds"
ogi,"Ogi (or Akamu) is a fermented cereal pudding from Nigeria, typically made from maize, sorghum, or millet."
Oondees,
pasta al pomodoro,typical italian dish
Petit Salé,
Placenta (dulce),cheesecake recipe from ancient Greece
Pootharekulu,"popular Indian sweet from Atreyapuram, East Godavari"
Rajas con crema,typical mexican dish
açorda,Portuguese bread soup
Pelara,Food in Malaysia
Carrillera,Corte de carne
Slemang,Dish in the Malaysian kitchen
Skirlie,traditional Scottish dish
Spanakorizo,greek food
Sushi pizza,variant of Japanese sushi served in Canada
Thoran,Indian vegetable dish
Rollo de verano,Vietnamese dish
Tirokafteri,Greek cuisine starter
toasted ravioli,dish
Turli Tava,
Vaho,Nicaraguan dish
Vangibath,
watermelon steak,"slices of watermelon, prepared by grilling, pan frying, baking, or roasting"
Canja a Doentes,
Negalho,
Oliaigua,
Olla de trigo,
Aczma,dish from Georgia
Rumpuć,Vegetable soup from Poland
Conventual sweets,Portuguese sweets
Efó,Dish of the Bahia cuisine
Ekuru,Ekuru is a meal native to the Yoruba people in Nigeria. It is usually prepared with peeled beans
Fenek,Dining in Malta
Iscas,Portuguese dish
Grilled Lapas,"Typical dish from Madeira & Azores, Portugal"
Nabada,Portuguese dish
Li Liangui Smoked Meat Flatbread,
Virado,Brazilian dish
Grytbit,Stew with meat
Swedish mackerel soup,
Rörost,cheese dish
saffron pancake,"pudding dessert from the island of Gotland, Sweden"
Tjälknöl,Swedish dish
Ungui,Type of a tamale
Ustilago maydis,Mexican delicacy
Äggakaka,Traditional south-Swedish pancake dish with pork
eel soup,
bánh giày,Vietnamese snack
bánh khảo,
Sroki,dish
Cerdo Yuxiang,
dry curry,form of Japanese curry cooked without roux
Itoko-ni,
magokoro jutsumi,dish
kani-jiru,traditional Japanese crab soup
pizza toast,
Abekawamochi,
palate cleanser,dish
Zeroa,
Thiakry,
Kebab con cereza,
čvarci,
Chimole,
Qarta,Kazakh and Kyrgyz dish of boiled and pan-fried horse rectum
olluquito con charqui y de pollo,Peruvian stew
Orzotto,Italian dish made with pearl barley
vigoron,Nicaraguan typical food
Coburger Bratwurst,
fırın sütlaç,"oven-baked version of the Turkish rice pudding known as ""sütlaç"""
Pelau,
Saumon à l'oseille,
Crab jujube,Chinese dish
Kolbulle,
pu phat phong kari,Thai dish consisting of stir-fried crab meat with curry powder
Pukala,traditional Nepalese dish of boiled and fried variety meats of the water buffalo
sour meat,German dish made from pork
Gazpacho pastor,
Ngoc Duong,vietnamese dish containing goat testicles
Çoban kavurma,"not be confused with ""korma"""
mala hot pot,Chinese dish
Kaz tiridi,"dish from the Turkish cuisine consisting mainly of domestic goose meat, bulgur and ""yufka"""
deep-fried shredded radish cake,Hong Kong food
Ikanago,
Seblak,Sundanese dish from Indonesia
pizza cake,Canadian multiple-layer pizza baked in a pot or cake pan
Aguachile,Mexican dish
Callos con garbanzos,"A tripe and chickpea dish, common to Spain and Turkey (nohutlu işkembe yahnisi)"
rosto,Gibraltarian dish
Mallung,Sri Lankan dish
Tuo Zaafi,A Ghanaian delicacy from the North
Maíz escuadrado,
Guisante negro,
Dish: The Destruction of the Hosts of Pharaoh,dish by Master IC (probably Jean Court)
boeber,Malay dish
Codornices estofadas,
bột chiên,fried rice flour cakes
purslane stew,Turkish dish
Rakott krumpli,Hungarian potato casserole
pollada peruana,traditional food from Peru
Russisch ei,type of stuffed eggs
filet américain,Brussels meat dish of raw lean beef
sweet tajine,
Halal snack pack,Australian halal dish
Mabo harusame,
Bhendi fry,Stir fried okra dish
Chestnut pie,
Tuo masara,"A meal commonly eaten in northern Nigeria, also known as hausa fufu. Tuwo masara is made from grounded corn."
miyar kuka,type of soup made from powdered baobab leaves; popular in Nigeria and Ghana
Efo riro,A rich Nigeria vegetable stew that is native to the yorubas of the Western Nigeria.It is also called vegetable soup.
Nsala soup,Ofe Nsala is the quickest and easiest Igbo Soup to prepare making it the choice soup for special guests.
tajine el bey,Tunisian dish
languette,thin elongated piece of beef
Puzhukku,A kerala dish
Adobong Goto,
Croûte au fromage,
Doganitang,
Ofada rice,"Ofada rice is a name for heritage varieties of rice grown in south-west Nigeria.It is used in a variety of dishes.Ofada rices are mostly blends, and some of the rice varieties in the blends are not indigenous to Africa."
sugared cranberries,
Hủ tiếu,Vietnamese soup dish
Eiernockerl,
Eru,
Satti,southeast Asian satay
Ikok,a meal from Cameroon
Malarrabia,
ajiaco,a Latin American stew
Tukir,
Dish Depicting Two Birds among Flowering Plants,ceramics highlighted in The MET collection
Dish with Two Intertwined Dragons,ceramics highlighted in The MET collection
sopa de almendras de Alborea,food preparation
caldo moreno,receta de plato típico de la Manchuela albaceteña
habichuelas con perdiz,food preparation
arroz con collejas,food preparation
nuégados,food preparation
torta de sardinas,food preparation
moje,food preparation
ajopuchero,food preparation
Hunter's chicken,French chicken dish
Milanesa,a South American variation of an Italian dish
Afang,A vegetables based delicacy originating from Sout-south Nigeria usually eaten with starch.
Tacos franceses,fast food recipe created in France
Grey peas,Latvian food
Puruvesi vendace,"Vendace caught in the Puruvesi lake, Finland"
Düsseldorfer Senfrostbraten,"Food speciality from Düsseldorfer, Germany, made with a gratinated mustard crust"
yokh,traditional Chechen dish
deopbap,Korean dish of cooked rice and topping
Roust,Bengali dish
Mfarakeh,"Arab dish of potato, egg, ghee, cumin, salt, pepper, and coriander leaves, served as part of a mezze"
goan nevri,food
Pheasant under glass,poultry dish consisting of the breast of pheasant with shallots in a reduced wine sauce
Fegatelli,Italian dish of liver
bánh đậu xanh,
Suancaiyu,
Pannfisch,
Stuffed Artichoke,
healthy sandwich,
salmon pizza,
chả trứng,Vietnamese steamed omelette or egg meat loaf
Westfälisches Blindhuhn,"Westphalian vegetable, pear, apple and bacon stew"
Cebollas rellenas,
Pasta all'Ortolana,mixed vegetable pasta
tava,
Bloke kavla,dish from southwestern Slovenia
Pumpernickelsuppe,
Brown shrimps as food,
veal stew,
wine soup,soup
akassa,
Bushman fondue,South African dish
Mariscal,plato de la cocina chilena
picada,hors d'oeuvre from Argentine cuisine
Blanc Manger,historic concept of the modern blanc manger: savoury dish cooked with certain types of meat or fish
warm black bean salad with kale and tomatoes,dish
chocolate pot,culinary dish made from chocolate
Buddha bowl,"vegetarian meal, served on a bowl which consists of portions of several foods, served cold"
Odawaradon,
Kumamoto ramen,Japanese noodle soup
niku sui,Ōsaka's cuisine
keichan,
Kagoshima ramen,ramen dish
Huarache (comida),Made by José Ruiz
Zarajo,plato típico de la provincia de Cuenca (España)
Ouarka,Moroccan dish
Dishwasher salmon,American fish dish
Hotsi,Finnish food
Monjavina,dulce de origen árabe
Lokša,type of potato pancake
Muvi,food of nivkh people
Nakládaný hermelín,
smaženice,smaženice
Sukuma wiki,
Cheer,Dish of Ukrainian cuisine
Halawet el Jibn,Traditional Syrian dessert
galayet bandora,"dish of tomatoes, onions, hot peppers, olive oil and salt"
mish-mash,Bulgarian vegetable dish
kiluvõileib,Estonian open-faced sprat sandwich
Sambal goreng,indonesian dish
Grechanyky,Ukrainian dish
Zhent,national dish of Kazakhs and Bashkirs
aspic,
Nauryz kozhe,Kazakh/Kyrgyz drink
sauté,dish
hasip,
Yuasa,Bashkir national dish
Laksam,Meal in Malaysia
Slavski kolač,Serbian celebration cake
Arnavut ciğeri,Turkish cold platter (meze) made of liver
Əzmə,Azerbaijani meal
Strapatsada,Greek dish with eggs and tomatoes
Kasav,haitian meal
Afritada,Filipino meat and vegetable stew
Igado,Filipino meal
khao kha mu,Thai dish of stewed pork over rice
Paçja,dish
Bugis,Meal in central Java
Cethot,Indonesian dish
gemblong,Indonesian traditional food
Kitawa,dish
quanta firfir,Ethiopian dish
Parêv,Kurdish rice dish
Zirfet,Kurdish dish
Czech-style hot dog,fast food dish
Sopa fría,cold dish mostly in summer times
tiempo,"specific set of food items that are served together during a meal, all at the same time"
Strapačky,Dish of dumplings with cheese or sauerkraut
century egg pastry,
Rondón (plato),Typical Caribbean dish made with coconut milk and seafood
chaku,Newa and/or Nepalese dish
Cholera,"savoury dish from Vaiais, Switzerland, involving potatoes, vegetables and fruits baked with cheese in a pastry similar to a tart"
Shkmeruli,
Karlsbader Schnitte,type of ham sandwich
Pholourie,"Fried, spiced dough balls"
pork liver noodles,Chinese dish
Lychee pork,"pork dish of Fujian, China"
Braised pork rice,traditional Taiwanese pork dish
zanahorias aliñadas,Andalusian recipe
komplet lepinja,Serbian breakfast dish
Bibikkan,Sri Lankan coconut cake
civet de chevreuil,traditional French dish of stewed venison
Fideos con caballa,Mackerel noodle soup
Paches,
Kandaulos,
Pârjoale,
Tsatsa,
boil up,Maori dish
Chifteluțe marinate,
kvrguša,Bosnian savory pie
leskovačka kavurma,Serbian pork dish
duck bamboo curry,Sylheti dish
Baccalà mantecato,Venetian appetizer
Mexican rice,type of rice
tuna tartare,raw tuna dish
calf liver,liver of cattle calfs commonly eaten as food by humans
beef and broccoli,Chinese-American dish
Saucisson chaud,
Burger King Hash Browns,dish at Burger King
Burger King French Toast Sticks,dish at Burger King
Burger King Onion Rings,dish at Burger King
Cheetos Chicken Fries,variant of Burger King's Chicken Fries
Chick-fil-A Chicken Sandwich,food served at Chick-fil-a
tabernero,tapa tradicional de Almería
gamjabap,Korean dish of rice and potatoes
rice with foxtail millet,Korean staple food
upka,Tajik dish
Warm goat cheese salad,"French dish, consisting of Chèvre cheese served hot"
Applebee's Spinach + Artichoke Dip,dish
spinach and artichoke dip,food
Chicken Wonton Tacos,dish at Applebee's
Carne polaca,
Käsewähe,"Swiss cheesecake, sheet cake"
Sochen',lean thin Flatbread
chicken-fried chicken,dish
ensalada de flor de banana,Vietnamise salad
Bramata,
Panada,Indonesian dish
ambrosía y néctar,comida y bebida de los dioses en la mitología griega
tempura udon,Japanese dish
Carthay Signature Fried Biscuits,dish
Señor Croque,dish
Adobong pugita,Filipino dish
Poqui poqui,
Entree Dish,"dish by Bailey and Kitchen, Taylor and Lawrie (MET, 2003.382a–c)"
Dish,"dish at the Metropolitan Museum of Art (MET, 1992.72.39)"
Dish with Apollo and Daphne,"dish at the Metropolitan Museum of Art (MET, 1987.142.307)"
Dish with Recumbent Elephant Surrounded by Clouds,"dish at the Metropolitan Museum of Art (MET, 1998.213)"
Dish with long-tailed birds and hollyhock,"dish at the Metropolitan Museum of Art (MET, 2011.120.1)"
Dish,"dish at the Metropolitan Museum of Art (MET, 24.172.1)"
Dish with Gardenia,"dish at the Metropolitan Museum of Art (MET, 19.28.10)"
"One from a Set of Dishes with Bamboo, Plum Blossoms, Butterflies, and Birds","dish at the Metropolitan Museum of Art (MET, 1997.33.4)"
