cassoulet,french cuisine
"One from a Set of Dishes with Bamboo, Plum Blossoms, Butterflies, and Birds","dish at the Metropolitan Museum of Art (MET, 1997.33.5)"
鼠志野草花文額皿|Dish with Grasses,"dish at the Metropolitan Museum of Art (MET, 1975.268.436)"
織部扇面形手鉢|Dish in the Shape of a Double Fan with Arched Handle,"dish at the Metropolitan Museum of Art (MET, 1975.268.443)"
青磁染付銹地桜花幔幕文皿|Dish with Cherry Blossoms and Textile Curtains,"dish at the Metropolitan Museum of Art (MET, 1975.268.555)"
Dish with Figure,"dish at the Metropolitan Museum of Art (MET, 1975.268.495)"
青磁染付紫陽花文皿|Dish with Hydrangeas,"dish at the Metropolitan Museum of Art (MET, 1975.268.556)"
백자 접시 조선|白磁楪匙 朝鮮|Dish,"dish at the Metropolitan Museum of Art (MET, 2004.124)"
明晚期  景德鎮窯青花鹿馬山水富士山型盤|Dish in Shape of Mount Fuji with Horses and Deer,"dish at the Metropolitan Museum of Art (MET, 2010.206)"
Tuo shinkafa,Nigerian rice pudding
catless,
griot,
Wasawasa,local dish from Ghana/West Africa
repocheta,Nicaraguan typical food
Choka,Trinidadian dish
Pizza Rossini,
Stuffed Breast of Duck,
Meatloaf of Austria,
Bananas Foster French toast,dish
Bananas Foster ice cream,dessert
shrimp étouffée,dish
crawfish étouffée,American dish
vegan jambalaya,dish
corn salad,dish made using corn
jerk chicken,dish
alligator po' boy,dish
Roast beef po' boys,sandwich
crawfish bread,dish
Lumberjacks’ Dumplings,traditional Austrian dish
Ishiyakiimo,
Balsamic Roasted Turkey Salad,salad
Mar-a-Lago Turkey Burger,dish
turkey soup,type of soup
Grilled Kurobuta Pork Belly at Other Mama,dish
Jukkumisamgyeopsal,Korean dish
Osambulgogi,Korean dish
pizza funghi,pizza with mushrooms
Melchermuas,"is a classic, very simple, high-energy rural dish from the Alpine region"
nalisniki,
matapa,Mozambican dish
makaroni schotel,Indonesian casserole dish
deer liver,liver of deer used for food
bauernschmaus,
shuizhu,Chinese dish
Bazzoffia,
potato pudding,
Carne al toro,"Beef stew with vegetables, wine and spices. Way of cooking meat"
calabash noodle soup,
Cheese curries,
Cheese dakgalbi,
Niku soba,
labra tarkari,Bengali vegetarian dish
Martinsgans,"roasted goose - traditional meal at St. Martin's day, November 11."
Leverstuvning,
Tacos de lengua,dish
crab leg,leg of any type of crab as a food ingredient
Arròs del senyoret,Plato de arroz valenciano
Gulai tauco,Indonesia cuisine
Indigirka salad,Yakut fish salad
Tjvjik (food),Armenian liver dish
Sushi burrito,type of Japanese-American fusion cuisine
Soetpatats,Sweet Potatoe dish
Big Mac Bao,Chinese steamed bun with McDonald's Big Mac inspired meat and ingredients as filling
Mashi rice,
Category:Aliments marinés à l’huile d’olive,
Japadog,variety of hotdog topped with Japanese ingredients
ranga,Bolivian dish
Chashushuli,
Pan Galo Plaza,
Fruit Bat Soup,dish of Palau
Estufa de morcego,dish from bats of São Tomé and Príncipe
quesabirria,Mexican dish
Dambou,food from Niger
choesels,"dish from Brussels, Belgium"
chips and salsa,appetizer
Soup and bouilli,
Umm Rgaigah,Sudanese  food
Breadfruit Porridge,Breadfruit Porridge(Ukwa) is the meal used to identify VIP at functions
bambara nut pudding,A traditional Nigerian food made with bambara nut.
Spicy cow foot,"A native finger food made with cow foot, palm oil and spices."
Abak atama soup,"A special palm nut soup,native to the Efiks/Ibibio people of Southern Nigeria.Atama soup is similar to Banga soup.The major difference is the Atama leaves which gives the Atama soup a distinctive taste and aroma."
Edikang ikong soup,"A special delicacy prepared with vegetables peculiar to Cross river and Akwa ibom states of Nigeria. It is a nutritious soup recipe made with a generous amount of leafy vegetables,dried fish and assorted meat."
Bambara groundnut,"Okpa is a delicious delicacy popular in the Eastern part of Nigeria, especially in Enugu state. Okpa has equally won the hearts of people in different parts of Nigeria and is now classified as a traditional Nigerian delicacy."
Isi ewu,A delicous Spicy goat head dish peculiar to the South Eastern Nigerians. Commonly served at local bars and occassions .It is very tasty and spicy.
Beans Dumplings,"Dan Wake which literally means Son of Beans in Hausa language is a Northern Nigerian recipe, Usually served with ground cayenne pepper (yaji), you can also use Suya Pepper, hardboiled eggs, sautéed vegetables."
Peeled Beans Porridge,"This Nigerian delicacy is made from regular bean seeds which have their coats manually taken off. It also serves as an alternative to Ukwa (Breadfruit), a delicacy from Eastern Nigeria."
White Moi Moi,"Ekuru, also known as Ofuloju/white moimoi is a popular traditional Beans recipe, it is common among the people of Kwara and Ondo state of Nigeria. White moi moi (Ekuru) is made from steamed blended dehulled beans."
gizdodo,A special Nigeria deliciacy which consists of peppered gizzard and plantain combination.
agidi,Nigerian Agidi or Eko is a Nigeria food made with corn flour.
Ofe Oha,Oha Soup (Ofe ora) is one of the most popular delicacies which is native to the people of the eastern part of Nigeria. It is made from the African Rosewood plant.
Bobozee,"this is one Nigerian Snack that has so many names. Call it Bobozee, Abacha Mmiri, akpu mmiri, yucca/cassava chips, ..."
Groundnut soup,"A rich type of Nigerian soup eaten with rice, eba, cassava or pounded yam."
Achicha Ede,Achicha Ede is a traditional dish of cocoyam potage which originates from the Igbo region of Nigeria particularly Enugu.
Abacha Ugba,Abacha and Ugba is a cassava-based dish mostly eaten by the Igbo tribe of Eastern Nigeria.
Ekpang Nkwukwo,"Ekpang Nkukwo is one of the traditional delicacies of the Efiks and Ibibios culture of Nigeria. It is made from grated cocoyam,water yam or unripe plantain."
Ukpo Ogede,Plantain Moi Moi (Ukpo Ogede) is a delicious  Nigerian  recipe prepared with over ripe plantains.
Oil Bean Soup,"A type of Nigerian food from the Eastern region, specifically Owerri.Ofe Ugba is a delightfully tasty delicacy from Eastern Nigeria. It is a special soup of the owerri people and its environs."
Banga Rice,Banga Rice is one of the traditional delicacy of the Southern zones of Nigeria.It is prepared with palm fruit concentrate and rice.
Sinasir,"Rice Pancake is pancake made with rice. It is known as Sinasir in Northern Nigeria. It is prepared with the soft variety of rice, the type used for Tuwo Shinkafa."
Okra Soup,"African okro soup is made with Okra vegetables cooked in a delicious mixture of palm oil,shrimps,goat meat,fish and African spices."
egusi soup,"Nigerian Finger licking soup.It is made with Grounded egusi (or pumpkin seeds),tomatoes,peppers and other ingredients."
Achi Soup is,Achi Soup with Oha Leaf  is a delicious soup peculiar to Eastern Nigerians. It is very delicious and enjoyed with fufu or akpu.
Gbegiri Soup,"Gbegiri soup is a Yoruba (Western Nigerian) soup prepared with beans. On its own, it looks like baby food but it comes alive when you add Ewedu Soup and meat from your Beef & Chicken Stew."
Urhobo Owho Soup,"Owo soup is that sweet yellowish delicacy mostly eaten by the Urhobos, Isokoh, and Itsekiri people of Delta State in Nigeria. This traditional dish is a complete meal for every occasion and events that takes place in Urhobo land."
Ofe Owerri,Ofe owerri is one of the expensive Eastern Nigerian soup. It is made with assorted meat and fish.Ofe owerri is mostly served during special occassions in the Eastern part of Nigeria.
Garri,"Garri is a creamy-white ,granular flour with a slightly fermented flavour and sour taste made from fermented cassava tubers."
Banga Soup,"Banga soup is  eaten by the Urhobo people of Southern Nigeria. It is made by extracting the liquid of palm kernels. Thereafter, other ingredients like crayfish, meat, fish, pepper and cow tripe are added.It is eaten with eba or usi (starch)."
African salad,
Eba,"Eba is a Nigerian staple food eaten all over the country and beyond. It is made from fried grated cassava (manioc) flour, commonly called as garri."
African Rosewood plant,Ora (Oha) soup is native to the South Eastern Nigeria. It is a very traditional soup similar to the bitterleaf soup but cooked with Ora leaves.
Unripe Plantain Porridge,Unripe plantains are recommended by nutritionists as they contain less sugar and are healthier compared with ripe Plantains.
Köje,Kazakh soup
Sanga (Meal),a traditional meal from Cameroon made with fresh corn and vegetable
cowpea,
beans and corn porridge,Adalu is a popular Nigeria dish. It is a combination of beans and corn.
Boli (Roasted Plantain),"Bole is a roasted plantain dish in Nigeria. It is native to the Yoruba people of Nigeria It is referred to as 'boli' in South West Nigeria and eaten with groundnuts. In South South Nigeria, it is referred to as 'bole' and is eaten with fish."
OKOHO,"Okoho is the main traditional food of the Idoma people of Benue state, Nigeria. It is made from the plant Cissus populnea belonging to the family Amplidaceae"
Five Guys hamburgers,dish
bean burgers,type of hamburger
lamb burger,dish made with lamb
vension burger,hamburger made from venison
honey walnut shrimp,
falafel burgers,dish
MOS Burger,hamburger at MOS Burger
lemon ricotta pancakes,pancake dish
cocktail salad,
Nécoras rellenas,typical Spanish dish
Mimosa (salad),"The salad's popularity in the USSR (and nowadays in the post-Soviet states) has led to the emergence of a wide variety of recipes.Mimosa salad got its name because of its resemblance to ""mimosa"", spring flowers, scattered on the snow."
Pizza Berlusconi,"pizza made from smoked reindeer, tomato sauce, cheese, chanterelle mushrooms and red onion"
Ñame con bacalao,Cuban dish
Tarana,A typical Macedonian dish
Pollo Chongqing,
bánh nhúng,
bánh trôi,
bánh chay,
Escargots de Bourgogne,escargot dish
Mollete,Mexican bread dish
Cheela,type of Indian pancake
Category:Curry antillais aux bananes,
Obwarzanek krakowski,
Mollete melenero,typical street dish in Cuba
Taco árabe,type of Mexican tacos
Tumact me tulez,
Panzaje,Mexican dish
Otona-sama Lunch,
ham rice,Japanese rice dish
Chanclas poblanas,Mexican dish
beet kvass,
Hojas de parra,Spanish dessert
pepperoni pizza,
Chilly Gobi,a cauliflower dish of India
Tamago yaki fry,
pav gathiya,
Category:Sauce chateaubriand,
cheese omelet,
Amala,Amala is another popular Nigerian food that’s native to the Yoruba in the western states of Nigeria. It’s eaten the same way as the popular Nigerian Fufu. This popular delicacy is made out of yam flour or cassava flour or even unripe plantain flour.
Tuwon dawa,Tuwon Dawa is ground guinea-corn made thick and solid and is eaten with soups like kuka and okra. Firewood is best used to cook this meal as it might not get well-cooked on a kerosene.
Waina,Waina is a simple meal that is also known as Masa. It is a dish that can be prepared with soaked white Maize or local Rice. It is mostly prepared in the Northern part of Nigeria and is eaten with Miyan Waina/Taushe.
Sesame soup,Miyan danyen karkashi is a very nutritional soup prepared mostly in the northern part of nigeria.
Fura da nono (millet and milk),Fura da nono which translates to Millet and Milk. Nono is locally fermented milk with a consistency that is thick but isn’t quite as thick as yoghurt.Fura da nono is very popular in the Northern states especially in Sokoto state.
Yam porridge,Yam porridge is a delicious Nigerian yam dish cooked in a well-seasoned oil and pepper mix until soft and fluffy with some yam chunks. Sometimes fish and vegetable is added
Amiwô,Beninese porridge
oeuf mayonnaise,
Miyabiya,
burrito bowl,dish
lobster macaroni and cheese,dish
Chicken burrito,dish
Bora,Meitei Manipuri ethnic food item
Gordon Ramsay's Beef Wellington,dish by Gordon Ramsay
Tacos de cabeza,tacos made with cabeza
pizzas with shrimp or prawns,dish
Beef stew,"African Beef Stew – a popular mouth-watering stew and a traditional West African Stew that is often prepared in most homes, in a number of different ways. A must-have for Christmas gatherings and in everyday meal."
Fried Plantain(Dodo),"Fried plantain, or dodo, from The Groundnut Cookbook. Great as a starter or side dish, the plantain is flavoured simply with cayenne pepper and a pinch of salt."
martino,sandwich from Belgium
Meulemeester eggs,gratin of gray shrimps marinated in beer and hard-boiled egg
tfaya,Sweet sauce in Moroccan cuisine
Arroz con pollo a la chorrera,Cuban dish
gowi nitutu,"food of Nias Island, Indonesia"
Ispi frito,Plato de comida boliviana
Nachos at Maya,dish
Niku-dofu,
pyzy,Polish potato dumplings (boiled in water) or yeast dumplings (steamed or baked).
crab bisque,dish
causa ferreñafana,
Ropa vieja,plato que se elabora con las carnes restantes del puchero y garbanzos
Niños envueltos,South American dish
Chocolate marquise,cake
Kaqdoq Minnyaq,"ritual food in almost every celebration in  Makassar, Indonesia"
Kembung Bertelor,"fish dishes from Bangka Belitung Islands, Indonesia"
Whopperitto,dish
sauteed onions,preparation of onions
Khustonig,food
Lemang,Indonesian traditional food originally from West Sumatra
Kabsa,mixed rice dish that originates from Saudi Arabia
kaşar,Turkish cheese
Kenkey,staple dish
Matjes,soused
Lechuga romana,variety of Lettuce
cioccolato di Modica,food
pissaladière,Provençal-Ligurian dish
Khubz,round leavened Middle-Eastern flatbread
Nasi krawu,
Salsa ravigote,
Pottsuse,
Racuchy,
yuba,Chinese and Japanese food product made from soybeans
gofre de Lieja,"dense, sweet, chewy waffle, native to Wallonia, made with brioche dough with chunks of sugar which caramelize on the outside"
chuño,South American freeze-dried potato product
Lacquemant waffles,"culinary specialty from Liège, commonly eaten during the October fair; thin wheaten wafer, cut in two horizontally, filled and coated with sugar candy syrup flavored with orange blossom"
Fusarium venenatum,species of fungus
Fasole cu cârnați,Romanian dish
Lemper,Indonesian savoury snack made of glutinous rice
sate kambing,Indonesian dish
çiğ köfte,raw meat or vegan bulgur dish from the Turkish cuisine
Putu mayam,Indian rice noodle dish
frog cake,type of cake from Australia
qatayef,Qatayef dumplings
Yufka,flatbread made with dough leaves
tandoor bread,bread made in a tandoor
Paraguaya,variety of plants
Tumpeng,Indonesian rice dish molded into a mountain shape and served with various side dishes originating from Java island
crema,soup made with cream
masa de levadura,piece of dough that has been flattened with a rolling pin
leche condensada,cow's milk from which water has been removed
huevo de pato en salazón,traditional Asian dish common in several regions
tomates verdes fritos,dish in Southern United States
tklapi,Georgian fruit leather
arroz con frijoles,Nigerian rice and beans jollof is basically a combination of rice and beans cooked in a tomato stew. It is nutritionally richer than plain rice and plain beans.
falooda,liquid dessert
Calentica,
grosella negra,fruit of the plant Ribes nigrum
Rissole,European dish
picada,sauce in catalan cuisine
stuffed food,stuffed vegetable dish
grelos,leafy vegetables from the Mediterranean
Pimiento del piquillo,
tomillo,"herb with culinary, medicinal and ornamental uses"
Otak-otak,Indonesian fish cake eaten
Jamón de Navidad,ham eaten for Christmas
pan de campaña,French risen bread
klappertaart,Indonesian traditional cake
somun,round bread from Turkish cuisine
Tangia,
neera,Palm nectar used as a drink
Ternasco,Protected geographical indication of lamb meat
Sadhya (comida),"Traditional feast in Kerala, India"
maní,seed from Arachis hypogaea
kattama,flatbread from the Turkish and Central Asian cuisines
Kuymak,"cornmeal, butter and cheese dish from the central-eastern Black Sea Region of Turkey"
ciavarro,Italian soup
Twisties,salty snack
Simomactra falcata,species of mollusc
es doger,Indonesian iced coconut milk
kidney,kidney as food
lumpia Semarang,spring roll from Indonesia
Mezcla de frutos secos,snack food consisting of any mixture of mechanically or manually combined nuts
Nagasari,Indonesia steamed cake
Oncom,Indonesian traditional food
Botok,Indonesian dish
Bubur kacang hijau,Indonesian porridge dish made using mung bean
Lawar,Indonesian dish
Pempek,Indonesian dish
rawon,Indonesian traditional soup originating from Surabaya in East Java
sega lengko,Javanese dish
Lupis,Indonesian traditional cake
karedok,Indonesian salad dish
nasi kebuli,Indonesian rice dish
Saksang,Indonesian dish
Bakwan,Indonesian vegetable fritter
mie celor,Indonesian dish
katsu sandwich,
kofte bozbash,stew dish with meatballs
geplak,"Southeast Asian sweet snack, originating from Indonesia"
Tongseng,Indonesian dish
Papeda,Indonesian traditional dish originating from East Indonesian region
chicken tabaka,chicken dish
Kinema,food of Nepal
Amala,traditional Yoruba Nigerian food made of root flour
Tempoyak,Malay condiment made from fermented durian
asam pedas,Indonesian dish originating from West Sumatra
pide,Turkish oven-baked flatbread
Şehriye,Turkish pasta used in soups and other dishes
kumru,"Turkish sandwich, especially from the Aegean region (İzmir and env.)"
Pepes (Indonesia),Indonesian traditional banana leaf dish
betutu,Balinese roasted chicken and duck made with betutu spice mix
nasi ulam,Traditional Indonesian (Betawi) rice dish originating from Jakarta
red tortoise cake,Chinese pastry usually eaten during significant occasions
Buntil,Javanese dish
Kelle,Turkish dish made of head meat (generally sheep)
Chin chin (comida),"Nigerian chin chin is a very popular snack in Nigeria, it’s made from basic combination of flour, milk and sugar. There are other optional ingredients like egg, baking powder and nutmeg, these are strictly based on preference"
Chocolate Crunchies,
Cicchetti,
Cimpa,
Harina de coca,Coca leaves powder
Serabi,Indonesian traditional of rice pancake
corn fritter,food
Crispy Crunch,Canadian chocolate bar
Elote en vaso,Mexican corn salad
rengginang,Indonesian traditional rice cracker originating from Java island
Kolak,Indonesian dessert
Pecel,Indonesian dish originating from Java island
Klepon,Indonesian traditional rice cake
Duros,"Mexican snack food made of puffed wheat, often flavored with chilli and lime"
Empal gentong,Indonesian beef soup
food biotechnology,application of genetic engineering to food production
berenjena frita,Turkish cuisine dish
Gaplek,
pantruca,Chilean soup with home-made noodles (pantrucas)
Alfajor (España),Spanish cookie-like dessert
Ajo mataero,plato típico de Albacete
Asado castellano,traditional roast meat in Castilian cuisine
Berenjena de Almagro,PGI
Berza gitana,"Cooked or stew of chickpeas, beans"
Calzones rotos,Chilean sweet
Chacina,preserved meats with marinades or sausages.
Chorizo cular,pork chorizo stuffed in thick casing (cular)
bilberry,common name for fruit from Vaccinium sect. Cyanococcus
Suprema,
Humanitarian daily ration,
Iced VoVo,Australian biscuit
Kayseri yağlaması,Turkish dish from Kayseri
Islama köfte,Turkish kofte (köfte) variant
Imokilly Regato,Irish cow milk cheese
Manisa kebap,Turkish cuisine meat dish
büryan,"lamb dish from Turkey, made in an underground oven (like a well)"
Çerkez tavuğu,chicken dish from the Turkish cuisine
kuzu fırın,lamb dish from the cuisine of Turkey
Kandil simidi,"special circular bread with sesame or ""çörekotu"" made for certain religious days"
Dilber dudağı,Turkish dessert
Peynir helva,cheese-based dessert from the Turkish cuisine
Kabak tatlısı,"dessert from the Turkish cuisine, made with pumpkins."
morcilla de Burgos,
yuvalama,soup from the cuisine of southern Turkey
Tahinli çörek,Turkish sweet bun (çörek) with tahini
Gavurdağı salatası,Turkish salad
Ankara tava,Turkish cuisine dish
kuzu kapama,traditional lamb dish from the Turkish cuisine
Tokat kebabı,lamb dish from the Turkish cuisine made in a black oven
testi kebabı,lamb dish from the Turkish cuisine cooked inside an earthenware jug on an open fire
Mumbar,Turkish offal (tripe) dolma called Mumbar or Bumbar
Patatas con costillas adobadas,"Potatoes cooked with pork ribs marinated with paprika, oregano, salt"
İskilip dolması,"Turkish dish from İskilip, Çorum"
Höşmerim,cheese-based Turkish dessert
Karadeniz pidesi,"Turkish oven-baked dish consisting of a ""pide"" flatbread with a filling or topping."
Trucha escabechada,
Zaaluk de berenjenas,plato tradicional de la cocina marroquí
Jolpan,traditional Assamese snacks typically served at breakfast
Kemplang,Indonesian fish cracker snack
Tabriz köftesi,Iranian meatball
kerak telor,Indonesian spicy omelette dish
Ketoprak,Indonesian vegetarian dish
keşkül,milk and almond pudding from the Turkish cuisine
Konro,Indonesian dish
Hanımgöbeği,Turkish cuisine dessert
ka'ak al-Quds,Israeli bread
Pitzuchim,colloquial term referring to varieties of nuts and seeds
Hedik,Turkish dish
mackerel,food
Etli ekmek,"Turkish ""pide"" from the city and province of Konya"
Gusano de maguey,insect larva added for flavor to mezcal
Milk candy,Gullisuwa is a local sweet commonly known in Northern part of Nigeria. It is made from powdered milk and sugar.
Encûr,Vegetables from Kurdistan
Nasi bakar,Indonesian traditional steamed rice
Nasi bogana,Indonesia rice dish originating from Java island
Nasi liwet,Indonesian rice dish originating from Java island
Qiwî,Vegetables from Kurdistan
Soryaz,Şırnak province local food
Pallubasa,Indonesian dish
Penne alla vodka,italian-American pasta dish
Perde pilav,"Turkish ""pilav"" dish in ""yufka"""
Asado de cerdo,mealtime event roasting a whole pig and the pork dish
piti,Turkish-Azeri dish with meat and chickpeas
Pizza Rolls,frozen pizza snack
cabbage,Cultivars of Brassica oleracea with dense-leaved heads.
uih sepit,Indonesian traditional cookies
Roti buaya,Betawi traditional bread
kue leker,Indonesian traditional pancake
Lempuk,Food made from durian
Nisan,Food from the coconut plant
rujak cingur,Indonesian salad
Sate padang,Indonesian dish
screwball,type of frozen confection that first appeared in the 1970s
scrod,small cod or haddock used as food
Soto Madura,
Sega Jamblang,Indonesian rice dish originating from Java island
sowans,scottish dish
Swikee,Chinese-Indonesian dish
tahinli pide,pide sort (sweet)
Tekwan,Indonesian fish soup
Ting Ting Jahe,
Tinutuan,Indonesian dish with rice and squash
tipatipa,Batak food item
Wingko,Indonesian traditional Javanese pancake originating from Java
kalburabastı,Turkish dessert
Flor de calabaza rellena,Stuffed zucchini flower dish from the Aegean
Coca de chicharrones,
Frutas de Aragón,traditional Aragonese candy
pasta de letras,pasta shaped like letters of the alphabet
Srabi solo,
Tatranky,wafer
Knake,Kind of sausage
Såkaka,type of bread
Extracto de vainilla,culinary liquid made from vanilla pods in ethanol solution
Goheimochi,Japanese regional cuisine
tofu sheet,Soy product
Taiwan ramen,
timphan,Indonesian steamed banana dumpling
Pekasam,Indonesian (Banjarese) fermented food originating from South Kalimantan
Sate Madura,A type of satay served with peanut sauce
seruit,Indonesian cuisine
arem-arem,Indonesian traditional rice cake
cenil,Indonesian traditional food
cilok,Sundanese boiled or fried tapioca flour balls
cireng,Indonesian fritters
navy curry,form of Japanese curry
azúcar morena,sucrose sugar product with a distinctive brown colour
Soto mie,Indonesian noodle soup dish
SOYJOY,
Ankake spaghetti,
Anmaki,
kankoromochi,
kishimen,Japanese noodle
hitsumabushi,
Bupleurum,dried root of Bupleurum chinense
Yokosuka navy burger,
jambo mochi,
Nanbangashi,Japanese sugar confectionery
Miso katsu,Plato japonés de cerdo empanizado y salsa tonkatsu y miso
Ogura toast,
grilled fish,food fish that has been subject to high temperature
Boiled Bean,
Fukuyamasu,
Katsuo no tataki,Japanese fish dish
Kurohampen,food in Japan
Persetorsk,seafood
Zviti,
Chiroti,Indian dessert
Celimpungan,Indonesian speciality Food
colenak,
Dawet Ice,
Es bir,Indonesian traditional drink
garang asem,Indonesian food from chicken in banana leaf from Surakarta
Getuk Goreng,
Itak Gurgur,
peanut garlic,
Kapurung,a type of soup made from sago starch originated from Palopo in South Sulawesi
Kelan Antep,Indonesian dish
skin crackers,traditional Indonesian cracker made of cattle skin originally from Java island
pohulpohul,
Ombusombus,
Kuluban,Indonesian traditional salad dish
Kupat tahu,
Kuwah Pliëk U,
Laksan,
lontong kupang,food from East Java
Madumongso,Indonesian sweet snack
mendol,processed tempeh
Menjes,Menjes is a traditional food made by beans from Malang East Java Indonesia
Model,a soup dish made of sago starch and fish
Nasi gandul,Indonesian soup
nasi jagung,Indonesian maize dish
nasi tempong,Indonesian rice dish
nopia,Indonesian snack from Purbalinga
rica-rica,Indonesian type of hot and spicy spice mixture
Rujak Kuah Pindang,
rujak soto,Indonesian Salad
buah keluak,seed of Pangium edule
Soto Banjar,Banjarmasin typical dishes
Soto Jepara,Indonesian chicken soup dish
Soto Kediri,Chicken soup with coconut milk sauce
soto betawi,Indonesian food
Soto Kudus,
Soto Sokaraja,"type of traditional soup dish from Banyumas, Indonesia"
suwar-suwir,indonesia traditional snack
Tahu petis,Tofu patis from Indonesia
Kue talam,Indonesian coconut tray cake
Teh poci,
Mendoan,
tengkleng,Indonesian goat stew
timlo,"traditional soup dish from Surakarta, Central Java, Indonesia"
Nasi tutug oncom,Sundanese rice dish from Indonesia
yangko,Indonesian snack made of glutinous rice flour
Uja,korean food
Akok,food
tahu campur,East Javanese tofu dish
Cicvara,traditional meal
enginar dolma,artichoke dishes made by filling the flower
artichoke rechel,"""reçel"" (Turkish style jam or murabba) made with artichokes"
Badımcan çığırtması,eggplant and egg dish
Zerde,Turkish cuisine dessert
chigirtma,Azeri cuisine egg dish
Urfa pepper,"pepper from Urfa, Turkey"
Blessed thistle with lamb,Turkish lamb dish
Jizza,Uzbek food
Arzuman,giant meatball dish from Azerbaijan
Miki,Wheat product
Putok,
Luk chup,Thai desert of marzipan
Kodma,an Indian sugar candy
Cethil,Javanese food
Gablog,Food made from rice
Geblek,Traditional snack from Kulon Progo
lentho,Indonesian savoury snack made of black-eyed pea
molen banana,indonesia traditional snack
satay maranggi,
Nasi Kapau,Indonesian cuisine originating from Kapau region in West Sumatra
Paripuvada,it is delicious food item.it is good with black tea
dodol garut,"Sundanese confectionery from Garut, Indonesia"
Géco,Type of fermented bean paste
Papais,Food
lontong balap,Indonesian rice cake dish
fresa,fruit
kadaif,Turkish noodles
Ampo snack,Indonesian snack made of soil
Waakye,Ghanaian food
