cassoulet,french cuisine
jenang kudus,
lotek,Sundanese traditional food from Indonesia
İnegöl meatballs,"Turkish köfte variety from İnegöl, Bursa"
smoked egg,egg dish
cornetto,pastry similar to a croissant
Pepeçura,Turkish grape dessert from the Black Sea Region
Kakharu Fula Bhaja,
salvado de avena,outer husk of oat grain
Moroccan Rziza,Moroccan cuisine
Shanxi knife-cut noodles,
ayam pop,Indonesian fried chicken dish
pappada vada,South Indian snack made from papadum
Kappa biriyani,Biriyani dish of Kerala
jopia,Indonesian bean-filled moon cake-like pastry
prawn cracker,prawn-flavoured crackers
Gujia,
Batasa,type of sweet
Sitabhog,Indian sweet
Patatas revolconas,Traditional Spanish: Potatoes made with torreznos and smoked paprika
Ventresca de atún,
Lontong dekem,Indonesian spicy rice cake dish originating from Dekem region in Central Java
Mie ayam,Indonesian dish
Putri salju cake,Indonesian traditional cake
Bubur ketan hitam,Indonesian dessert
dürüm,"Turkish cuisine fast food, similar to ""wrap"""
Ayam goreng,Javanese fried chicken originating from Java
bubur pedas,Indonesian porridge dish from West Borneo
rice-stuffed artichoke,"rice-stuffed artichoke, from the Turkish cuisine"
Bandros (food),Sundanese coconut hot cake from Indonesia
Frikkadel,South African dish
es goyobod,Indonesian coconut milk based cold beverage
es buah,Indonesian iced fruit cocktail dessert
Shizuoka oden,food in Japan
Banga,soup made from palm fruit
clorot,Indonesian traditional snack
empal gepuk,Indonesian dish
Sate Bandeng,Indonesian dish
aguapanela,traditional drink
Haşhaşlı çörek,"Turkish ""çörek"" with poppy seeds."
balık-ekmek,fried or grilled fish in a bread loaf
boyoz,"Turkish sephardic ""çörek"" or bun"
pandispanya,Turkish cake
Welnaldi,Indonesian television presenter
grosella espinosa,fruit
Costrada de Alcalá,typical dessert from the city of Alcalá de Henares
kue rangi,Indonesian coconut waffle
barongko pisang,"Makassar traditional dish of banana mixed with sugar, eggs and coconut milk"
Beberuk terong,
Talkan,
Ikadabae,
tas kebab,Turkish veal or mutton stew
kuzu paça,lamb offal dish from Turkey
rowanberry jelly,
supangle,Turkish cuisine pudding dessert
Sate Lilit,Indonesian food
gastronomía tradicional,foods and dishes that are passed on through generations
fava,broad bean-based meze from the Turkish cuisine
binte biluhuta,"soup consisting of corn, fish or shrimp typical of Gorontalo"
Bulung,Balian food
dadar gulung,Indonesian traditional coconut pancake originating from Java island
dawet ayu,
getuk pisang,Indonesian snack made of banana
memek,"cuisine from Simeulue, Aceh"
Kagape kambing,Lamb kagapé is Indonesian dish from Jepara
keumamah,Acehnese fish dish
kue ape,Indonesian type of pancake
Kumbu,Indonesian cake made from green beans
Ongol-ongol,Indonesian dish
Sambal pepaya,
Sambalingkung,a type of meat floss or serunding made from fish meat
Ambal satay,"the variant of satay dish originated from Ambal region in Kebumen Regency, Central Java"
Sate sapi,
Mie gomak,Indonesian spicy noodle soup dish
Pindang,Indonesian cooking method
Mie kopyok,Indonesian noodle dish
Javanese fried rice,Javanese-style of fried rice
roti gambang,Javanese traditional bread
Pan de Vakfıkebir,Turkish bread
sárgatúró,type of Easter food in Hungary made of milk and eggs
kabak kalye,"light dish of spring courgettes, from the Turkish cuisine"
açma,Turkish bread (breakfast or tea-time item) which is commonly consumed as a street food
nasi tumpang,
Petis Udang,
Pukis,Indonesian hot cake
Hamsi tava,"fried ""hamsi""  (European anchovies) dish in the Black Sea Region cuisine of Turkey"
Allioli de codony,
Kuzu haşlama,mutton or lamb stew from Turkey
panadons,
patlıcanlı köfte,Turkish meatball stew with eggplants
Cennet çamuru,dessert from the Turkish cuisine
Hamsili pilav,"Turkish cuisine (Black Sea Region) rice dish with ""hamsi"" fish"
Jalangkote,Indonesian traditional dumpling of Makassar cuisine
Sop saudara,Indonesia traditional buffalo soup
Köftes in the Turkish cuisine,"""köfte"" dishes in the Turkish cuisine"
kuru köfte,Turkish cuisine köfte variety
Turkish soups,soups in the Turkish cuisine
Kpekpele,Food used for celebrating homowo festival by the Ga's
Puchero de hinojos,"Cooked white beans or chickpeas with fennel, traditional in some areas of Andalusia, Spain"
milk pilaf,Turkish pilav (pilaf)  variety with milk
máchica,type of flour made from ground toasted barley or other toasted grains
piel de cerdo,piel de cerdo empleada como alimento
Kue gapit,Indonesian traditional snack
Zaalouk,Moroccan dish
Chuleta de cordero,Grilled lamb chops
uyutma,traditional dried fruit and milk dessert of Turkey
pirzola,Turkish style lamb chops
cranberry,fruit
"hooked surfclam, cooked",food ingredient
türlü,Turkish vegetable stew
Ezme,"Turkish amuse-bouche, meze and/or hot sauce"
fu,food made of wheat gluten from Japan
shimadōfu,
Gastronomía de Ceuta,
breakfast burrito,breakfast entree
Dodo ikire,
Kue bugis,Indonesian traditional rice cake
Kue satu,Indonesian traditional cake
Fura,Food in west Africa
Plecing kangkung,
tarama,salted and creamy roe (spread)
Alu Bhaja,fried potato
Pancong,Indonesian specialty cakes
kunun Tsamiya,"Kunun Tsamiya is a popular drink in the Northern part of Nigeria. It is made using Gero also known as “Pearl Millet”, dried ginger to be specific, cloves, a little dried pepper and tamarind which is called “Tsamiya” in Hausa."
Pecel pitik,Indonesian dish
Keema Matar,Minced meat dish from India and Pakistan.
Rolex (comida),Ugandan street food
Kue precet,West Java traditional cake
ayam goreng jepara,
Laz böreği,Turkish dessert
kacimuih,Indonesia traditional food
Sate taichan,
Tauto Pekalongan,Type of soto dish with a tauco mixture
Tom yum kung,Tom yum (a Thai soup) cooked with shrimp (prawn)
Gupo Sandesh,
semilla de anís,fruit used as condiment
Fried Rice with Salted Fish and Chicken,
cipera,
Braised Chicken,
Red peach cake,Chinese pastry usually eaten during significant occasions
Rendang Itiak,Indonesian food
salça,Turkish style tomato or pepper concentrate
Pasta gratin,
cacık,Turkish dish
Bataw,
sambal shrimp,Indonesian spicy dish made of shrimp
Çökertme,Turkish meat dish
Impossible burger,vegan burger patty product
asinan Bogor,
Bagiak,"type of cookie from Banyuwangi, Indonesia"
biapong,bakpao typical of North Sulawesi
bipang rice,indonesia traditional snack
carang mas,Indonesian sweet snack
Cilok Goreng,
Cilung,
es Goyang,
Jaja Giling,
jenang grendul,
jenang krasikan,
Kritcu,Indonesian Snack
Pepe,Indonesian specialty cakes
Red Rice,
Marrow and Rice,
pallu kacci,indonesian traditional food
Petis Bumbon,
pindang tulang,Palembang cuisine made of bones or beef
pothil,Indonesian snack made of cassava flour
Pork Satay,
Duck Satay,
Sate Sapi Suruh,
Soto Bogor,kind of soup
sop ayam,
food powder,solid food material consisting of small particles
kreb,mixture of non-cultivated grains that are harvested from semi-wild grasses in sub-saharan africa
Kame Jush,
Citruk,
man reman,Indonesian traditional snack
Arai pinang,
pelleng,
Rendang lokan,
pempek lenggang,variant of pempek
Fugazzetta,Argentina pizza variety
Fugazza con queso,Argentine pizza variety
Pizza al tegamino,pizza realized using deep dish
piccantino,spicy mix
tarator,cold soup
Jipang,indonesia traditional snack
Golla Kambu,
Keretek,
Ledre,
Be Pasih Satay,
satai komo,
bikang,"traditional food made of rice flour, wheat flour, and tapioca"
Rusip,
Food Lion,Grocery store located on Shore Drive
Kroger,"Kroger supermarket branch northeast of Norfolk, Virginia"
Commissary,JEB Little Creek grocery store
Külloströmling,estonian fish
Smoked Roa Fish Sauce,Indonesian spicy sauce
Naturegg,type of eggs brand name
Laverbread,"food product, made from an edible seaweed"
crab melt,sandwich
Tlačenka,Czech and Slovak meat dish with brawn
atom,dessert from Turkey
perepichka,
pasankalla,Insuflado de maiz endulzado
longaniza de Aragón,
arroz salvaje,type of rice
gari and beans,Staple food in Ghana
Gari foto,locally made food from Ghana and Benin
Chick-fil-A Waffle Potato Fries,food served at Chick-fil-A
Chick-n-Strips,food served at Chick-fil-a
Spleen as food,
Bakakak hayam,
Arayes,"Middle East streetfood, minced meat in pita bred"
Gulai tunjang,
cangkaruk,
crema de alcachofas,creme with artichoke
Mpoto Mpoto,Ghanaian Food
Dilly Bar,ice cream confection at Dairy Queen
revani,Turkish cuisine dessert
Mücendra pilavı,dish from the Turkish Cypriot cuisine
Slavic ritual food and drinks,
yassı kadayıf,Turkish dessert
oseng-oseng mercon,
Turkish mantı,food from Turkish cuisine
pearl,"translucent spheres of sago, tapioca, or other starch"
Omelette Arnold Bennett,fish and egg dish
Karupuak jariang,
Mohanthal,sweet dish from India
Toros salad,Eggplant-based salad
Marquesitas,Yucatec dessert
gulai tambunsu,Indonesian food originating from West Sumatra
Pho Ga,Vietnamse version of chicken noodle soup
Chicken Al faham,Arabian dish with chcken
italiano,variante del completo
Dambu,"Dambu is a nutritional and delicious Hausa dish made with Maize, Rama and Yakuwa leaves. It is easy to prepare."
yayık ayran,type of ayran
corn cheese,Korean food
Kala bhuna,Bangladeshi meat curry
Ayvalık tostu,warm sandwich from Turkey
Jødekager,cookie of Danish Jewish origin
meyhane pilavı,Turkish bulgur dish
bulgur pilav,Turkish cuisine dish made with bulgur
palava sauce,cocoyam leaves stew
jelly powder,
protein powder,dietary supplement
cangrejo reventado,plato peruano
Tubaani,A staple in Northern Ghana
shrimp salad,kind of seafood salad
Weetabix Original,
Zowey,Ghanaian food
Ayigbe Biscuit,Snack
Kube Cake,Snack
Nkati Cake,Snack
Poloo,Ghanaian Snack
roti bolen,Indonesian bread
Shemai,
Agbeli Kaklo,Snack
peynirli pide,Turkish pide type
pide (comida),Turkish flatbread dish
terasi bawang,traditional dish indonesia
Janda berenang,
haşıl,Turkish dish
Karupuak jangek,indonesia cuisine
soto medan,traditional soup from medan
gohu ikan,indonesian traditional food
Bolu kukus,Indonesian cake
frutas en conserva,fruit packaged in a tin can or jar; heat treated and sealed to extend shelf life
peanut protein,protein fraction of peanut parts
almendras de Jordania,"sugar coated almond candy, typical of Turkey"
gulai kapau,
pipes and potatoes,Gujarati potato dish
Tahinopita,Cypriot cake
Oret,Balinese cousine
Semuuk,Balinese cousine
Gong Fei Cake,
pişi,
Analı kızlı soup,Turkish cuisine soup
rice soup,soup made with rice as basic ingredient
Komola bhog,A sweet of Bengal
Begun bhaja,"pan fried or shallow fried marinated slices of Aubergines/eggplant, a Bengali dish"
Megono,Indonesian traditional dish
Bitter leaf soup,"Bitter Leaf Soup, also known as Ofe Onugbu is a popular Nigerian soup. Bitter leaf Soup is peculiar to the Igbo tribe of Eastern Nigeria."
Margi special,Margi Special is a Nigerian cuisine made with fish. It is indigenous to the Margi people of the North eastern region of Nigeria.
punten,"traditional food from East Java, Indonesia"
dil peyniri,Turkish cheese
sivri biber,Turkish chili pepper
Coca de gazpacho,type of flatbread
History of escargot,
Mudhi Mansa,Odia food
Imperial Mandarin,"(Plant) Variety of mandarin developed by RM Sheppard, orchardist in Emu Plains, at his property Westbank in Emu Plains in the 1890s."
Bombay Duck Fry,Indian food
Bhetki Amritsari,Indian food
Chicken Steamed Momo,Indian food
Aceite de Lucena,"A PDO olive oils from Lucena, Spain"
Asam padeh ikan,indonesian traditional food
Karabu Baluik,Indonesian cuisine
patso,Turkish dog and fries sandwich
Karupuak lento,Indonesia tradiotional dish
Ketan sarikaya,Indonesia cuisine
Lapek sagan,
uni,sea urchin gonads used as food
black-eyed pea,seed of Vigna unguiculata subsp. unguiculata
Northern bluefin tuna,meat from Thunnus thynnus
Bittergarnituur,
Morcilla de calabaza,"type of blood sausage from Extremadura, Spain"
bubur sada,Gorontalo typical porridge prepared from mashed corn
pempek tunu,
kue muso,
Bola Ubi,sweet potato dish
rendang maco,
rendang jariang,
kerupuk puli,rice cracker from indonesia
dumbleng,
kubang boyo,Indonesian cake
pempek lenjer,variant of pempek
Plantain flower,
Pan chapla,tipo de pan en Perú
Perpeqi,
Garbanzo de Escacena,Indicación geográfica protegida española
garden egg sauce,
Native jolloff rice,This is a rich Jollof rice dish in Nigeria. It’s known as Iwuk Idesi by the Efik people of South Eastern Nigeria.Iwuk Edesi is easy to prepare and is absolutely delicious. Palm oil is used to give it a traditional taste.
Guguru and epa,Guguru and Epa are addictive popcorn-peanut snack combination.It is one of the simplest Nigeria snack recipe.
Nigeria egg roll,"Nigeria egg roll is a popular Nigeria snack similar to scotch egg but unlike scotch egg,Egg roll is made from flour dough  which is traditionally used to wrap the boiled egg."
Stick meat,Beef Skewers are very easy Nigeria delicious snack recipes to make. Some call it Beef Kebabs or simply Stick Meat.
Gwote,"Gwote is a pottage made with Fonio, it’s commonly eaten by the people from Plateau State in Nigeria.. Gwote is easy to make,and you can make it with any assortment of vegetables that you like."
Alkubus,"A wheaten food often eaten with cabbage stew by the Northern Nigerians. Alkubus is Hausa-Fulani steamed bread made from wheat, flour, yeast and water, put in moulds and steamed. It is served with Miyan taushe."
Ukpo oka,Steamed corn pudding is a meal that is native to the Eastern part of Nigeria. It is usually served during traditional engagements and taste really good.
Alkaki,"Alkaki is a sweet treat common among the Hausa tribe of Northern nigeria.It is mostly made during weddings.It is made from wheat,sugar and honey."
Garau garau,"A popular Hausa food which consists of the combination of plain rice & beans,vegetables , boiled eggs,oil and maggi. Cook your rice and beans with salt till done and set it aside.Fry onions and oil.Cut your lettuce,tomatoes and onions."
Cowtail peppersoup,"Nigerian cowtail peppersoup is a mouthwatering  peppersoup made with Cowtail, spices,peppers and other ingredients."
Dantsurku,A Northern Nigeria Spicy fish ball snacks.It is very tasty and delicious.
Dakuwa,"Dakuwa. is a traditional snack, prominent in northern. Nigeria. It is made from roasted tiger nut and. groundnut; it can also be made from roasted sorghum."
Kantun ridi,Kantun Ridi is the hausa name for sesame seed candy also known as beniseed candy.It is a tasty and delicious snack.
Zogale salad,"Zogale salad is popular in the Northern part of Nigeria.It is simple to make and delicious. it is made up of Moringa leaf (Zogale), Karago, Onions and peppers SeasoningG/oil"
Dambu nama,Dambu nama is a popular meat snack in Northern Nigeria and its more commonly prepared during the Muslim Sal-ah celebrations. The choice meat for making this snack for Sal-ah is lamb but beef and chicken are also used.
Gireba,"Gireba is a Northern Nigeria delicacy derived from flour, and is made with everyday easily digestible ingredients. Flour is a powder made by grinding raw grains, roots, beans, nuts, or seeds."
Yamarita,"Yamarita is plain boiled yam that is coated in egg, flour, ginger, garlic, and salt and fried. This is one of the most popular Hausa food in Nigeria."
Garnished liver sauce,"A rich Nigeria dish which consists of chopped liver, chopped onion, pepper and other spices."
yam balls,"A delicious Nigeria yam dish made with mashed boiled yam,eggs,peppers and other spices moulded into ball shape and fried."
Moringa smoothie,"Moringa  smoothie is a rich antioxidant drink that fights against oxygen-free radicals, which can contribute to cholesterol build-up and inflammation."
sweet potatoes pottage,dish
Fonio jolloff,This recipe is a popular dish in West Africa using gluten free grain called fonio. Fonio is the term for two cultivated grasses in the genus Digitaria that are notable crops in parts of West Africa.[1] They are millets with small grains.
Buns snack,"Nigerian Buns is one of the popular snacks in Nigeria. It’s a bit crusty on the outside but fluffy inside. A bun is a small, sometimes sweet, bread-based item or roll. Though they come in many shapes and sizes, they are most commonly hand-sized."
Vargabeles,noodle and cheese cake originating in Transylvania
fibra de avena,fiber of oat
Peixe,"old brand of guava, tomato paste and other food products"
spring violet garlic,spring garlic originally is from China
Fruta de horno,type of traditional Mexican cookie
concoction rice,Nigerian dish
muhlama,Meal made from Rize region cheese and corn flour
Kosai (food),Notable food in West Africa
Nyombeeka,Vegetables food in Ghana
elderberry,common name for fruit from Sambucus  sect. Sambucus nigra
Vapa puli pithe,bengali cuisine
Gokul pithe,bengali cuisine
Tamal de bola,"Es un tipo de tamal  de maíz, elaborado a manera de cazuelita con figura de bola, envuelto en hoja de maíz, relleno de mole verde(pipían) y mole rojo con carne, originario de la sierra norte del estado de Hidalgo  y  Veracruz en México."
Moraya,Andean freeze-dried potato product
Main Food Groups,
piece of bread,a slice of bread to eat
Payasam,Sweet dish of Kerala
canned pineapple,canned food
Wheat and ewedu soup,Food
Meat peppersoup,Food
Rice and stew with cowskin,Food
Spaghetti and chicken,Food
Rice combination,Food
Twisted macaroni,Food
Mie yamin,
Melva de Andalucía,Indicación geográfica protegida española
Caballa de Andalucía,Indicación geográfica protegida española
pastel,Indonesian pastry
Ube Pandesal Recipe,Filipino purple bread roll Recipe
Ube,vegetable commonly used in Filipino Dessert
Denizli kebab,
Tchaka,Haitian stew
Kaseita,
flor frita,Middle Eastern and Middle Eastern-influenced rosette-like fried dough food
javanais,Belgian dessert
Antep Baklava,"baklava from the City of Gaziantep, Turkey, as recognized by the EU"
fried whitefish,
Bole,A popular plantain delicacy peculiar to south south Nigerians
Zobo,Zobo (Zoborodo) is a Nigerian beverage made from dried Roselle plant flowers. Zobo drink is a familiar beverage loved by Nigerians. It is produced from dried roselle or sorrel leaves (Hibiscus Sabdariffa). This bright red drink is loved both for
Kunu aya,Kunu Aya’ is a local Nigerian beverage made with tiger nuts
akara,"Akara, also known as Bean Cakes, Bean Balls, Bean Fritas or Acarajé in Portuguese is a Nigerian breakfast recipe made with beans."
Kunun gyada,Kunun gyada is a popular Northern Nigeria drink. It’s a gruel like drink consisting of rice boiled in groundnut milk.
unripe plantain,Unripe Plantain Porridge
Efo Riro,Efo Riro is a rich vegetable soup that is native to the Yorubas of Western Nigeria.
Ofe Nsala,Ofe Nsala is a mouth watering delicacy peculiar to the Igbo tribe of Nigeria. It is a very rich soup and it is called white soup because palm oil is not used for the preparation unlike other traditional Nigeria soups.
Abacha,An Eastern Nigeria dish made using dried shredded cassava.It can be eaten as a snack or a whole meal.
Oil Bean Soup,
African breadfruit,
Eba,Eba is a type of food staple (swallow) popularly eaten in Nigeria and by Nigerians all over the world.
Rosquilleta,traditional Valencian food
Dulce de frijol,Postre tradicional de Nuevo León
Frijoles con veneno,plato tradicional de Nuevo León
Glorias de Linares,typical Mexican sweet
Carne zaraza,"platillo del estado de Nuevo León, México"
cooked grain,"cooked rice and/or other grains as the staple food, or a meal"
Pumpkin soup(Miyan taushe),"Miyan taushe is a popular Northern delicacy made from pumpkin, vegetables ,locust bean and other spices."
Ewedu soup,"Ewedu also known as molokhia or jute leaves is a popular Nigerian soup popularly eaten with Nigerian stew such as buka stew or gbegiri. The soup is commonly served with fufu, garri or amala."
Miyan Geda,Miyan Geda is tasty soup popular in Northern Nigeria. The key ingredient in Miyan Geda is groundnut. This delicious soup can be served with tuwo Shinkafa.
Mashed potato (Bengali food),A Bengali food
Ofada stew,"Ofada stew, also known as ayamase stew or designer stew is a delectable Nigerian stew made with palm oil, fermented locust beans, and bell peppers."
Catfish pepper soup,Catfish pepper soup is a spicy fish dish that ranks high among the most exotic delicacies in Nigeria. It is often found and enjoyed in many local bars as well as posh restaurants across the country.
Peppered snail,"The spicy, chewy goodness of peppered snail consists of boiled snails sautéed in onions, peppers and spices."
Peppered Ponmo,"Peppered ""ponmo"" is another way to describe spicy, succulent cow skin that is typically prepared among the Yorubas in Nigeria. It is a very hot and peppery cow skin""."
Asun,Asun is an extremely popular Nigerian peppered meats recipe. It is simply smoked goat meat cooked in a spicy hot pepper sauce.
Chicken stew,Nigerian chicken stew is a delightful West African stew made with chicken thighs and simmered in a savory sauce made with tomatoes and peppers. It is so versatile and can be eaten with many different dishes.
Okoho soup,Okoho is the main traditional food peculiar to the Idoma people of Benue State Nigeria.
Nigeria fisherman soup,Nigerian Fisherman soup is a simple soup made with fish and other seafood as its protein source. It is called Efere Ndek Iyak in Efik and is indigenous to the people of Akwa-Ibom and Cross River states of Nigeria.
Fried yam(Dundun),Dundun is a deep-fried yam recipe that can be eaten with a wide range of Nigerian stews and sauce.
Kokoro snacks,"Kokoro is a rod–like shaped crunchy Nigerian snack ,popular in some parts of Nigeria. It is made with corn meal/corn flour and usually sold by street ."
plantain chips,Nigerian snack made with either ripe or unripe plantains
Yaji spice,Yaji  is a spice blend that has its origin from the Northern part of Nigeria. It is mainly made from dried red chilli pepper mixed with various traditional spices grounded into a fine powder to create the mind blowing taste.
Agege bread,"Agege bread is a soft but dense sweet white bread made from a rich, low-yeast dough.The bread is called Agege Bread because it originated from a place in Lagos called Agege."
Keke Fieye,"Keke Fieye is a local dish made with unripe plantain, but you can add a little beans if you don't have enough plantain, although, most people prefer a combination of plantain and beans for this popular ijaw food."
boiled cocoyam and palmoil,Nigerian dish
Fried yam and egg sauce,"Fried yam and egg sauce is a popular Nigeria meal.  Egg Sauce is a made with eggs, tomatoes and peppers."
L687307-S1,
timbits,Canadian doughnut holes
chocolate,nutritionally dense or sweet food product from the seed of Theobroma cacao - cocoa bean
confitura,spread made from fruit
soya,species of plant in the Fabaceae family
cereal,"grass of which the fruits are used as grain, or the fruits themselves"
galleta,baked treat
Allium sativum,species of plant
Lepido,species of plant
Solea solea,flatfish
pastel de chocolate,cake flavored with chocolate
Curcuma longa,plant used as spice
emping,Indonesian traditional chips made of melinjo (Gnetum gnemon)
camarón,infraorder of shrimp
aceite de oliva,liquid fat extracted by pressing olives
tempeh,"Indonesian soy product originated from Java island, used as protein source"
salchicha,food usually made from ground meat with a skin around it
Chlorella,genus of algae
Capelán,species of fish
pescado con papas fritas,hot dish of fried fish and fried potato
Gado-gado,Indonesian salad dish originating from Java island
pastel de queso,dessert
Kanafeh,Kanafeh cake
fruta seca,fruit from which the majority of the original water content has been removed
Thunnus alalunga,species of fish
Pandanus amaryllifolius,species of plant
Flammkuchen,"traditional food of Alsace, Saarland, Baden, and Pfalz"
İmam bayıldı,"Turkish cold dish based on eggplants, onions and olive oil"
hornazo,Spanish baked meat.
mochi,Japanese rice cake made of mochigome
Pepernoot,A tiny Dutch cookie made from many rich ingredients
Vigna radiata,species of plant
Adoquín del Pilar,
charqui,carne seca
avellana,"nut of the hazel tree, Corylus avellana"
Salchicha de Cumberland,traditional sausage recipe in Britain
Brem,Indonesian traditional fermented food
Manjū,Japanese confection
rempeyek,Javanese savoury cracker
Fischbrötchen,food: bread & fish
Tête de Moine,Swiss cheese
Kruidnoten,Dutch candies
arroz con pollo,traditional dish of Spain and Latin America
Youtiao,churro-like cruller of Chinese origin
té de burbujas,Taiwanese tea-based drink containing tapioca pearls
anju,food accompanying alcohol
bola de cerdo,
Rujak,Indonesian traditional fruit and vegetable dish originating from Java island
Chips de plátano,"dried, crispy slice of banana"
berry fruit,Type of fruit
Scomber japonicus,species of fish
Beni shōga,Japanese pickled ginger
meze,small dish in the cuisine of the Near East and Balkans
tzatziki,Greek yoghurt dip
meju,fermented soybean bricks
coto Makassar,Indonesian traditional soup
Cendol,traditional Javanese dessert originally from Java island
Shahe fen,Chinese noodle
arroz congee,type of rice porridge or gruel popular in many Asian countries
Bosanski lonac,Bosnian dish
simit,bread dough rings with sesame seeds
dulce de leche,confection from Latin America
Dosa,thin pancakes originating from South India
Soto ayam,Indonesian spicy chicken soup
alfajor,South American sweet dessert
Muktuk,dish made from whale skin and blubber
Petit four,small confectionery or savoury appetizer
Manuka honey,type of honey
Bœuf bourguignon,French wine-based beef stew
Caldo gallego,food
gözleme,Turkish cuisine dish
Carnaroli,rice cultivar
kısır,meze and teatime dish from the Turkish cuisine
Sōki,Japanese pork dish
Shabu-shabu,dish
Chocolate de las Fuerzas Armadas de Estados Unidos,part of standard U.S. military ration
sopa de tripas,soup
Corned beef,salt-cured beef product
Spondyliosoma cantharus,species of fish
Jajangmyeon,Chinese-style Korean noodle dish
Cuajada,dessert
Gefilte fish,dish made from a poached mixture of ground deboned fish
sofrito,"sauce used as a base in Latin American, Spanish, Italian, and Portuguese cooking"
profiterol,"choux pastry ball filled with whipped cream, pastry cream, or ice cream"
Sanuki udon,type of noodle
Korokke,Japanese potato dish
Copos de avena,lightly processed whole-grain food made from oat
ampyang,Indonesian traditional snack made of peanut and brown sugar
Qormeh sabzi,Iranian herb stew
crème anglaise,light pouring custard
geofagia,practice of eating earth or soil-like substrates such as clay or chalk
fruit preparation,processed fruits
